parent,child,edge_weight
348,136,6.698563024324255
61,50,6.7481836772881465
50,246,6.578491000186686
372,130,6.763214102787987
430,284,7.116232723157077
175,56,7.156061746345021
219,131,7.994024183317602
355,461,8.081330028376422
38,51,9.344882888351725
51,421,7.2192784766977764
78,258,10.58883893511353
51,287,10.904770140857476
219,480,11.168333607414446
323,396,11.691312581438963
246,230,11.867096741336228
493,398,28.018991596732164
