algorithm,parameters,requested_k,n_records,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,ami,fowlkes_mallows,homogeneity,completeness,v_measure,purity,base_id,dimension,seed,covariance
KMeans,"base_id=17,k=5,dimension=5,seed=44.0,covariance=None",5,2500,5,0.045425110727719,2.7809993036916927,115.56051296487162,0.0012836429778651688,0.007886827509797188,0.006795091339626077,0.5566491759821219,0.34762207881659724,0.003988660997812353,0.007886827509797186,0.9984,17,5,44.0,
KMeans,"base_id=18,k=5,dimension=5,seed=45.0,covariance=None",5,2500,5,0.045481975428786695,2.7804812258334435,115.56850856332476,0.001276959675235231,0.007880290807392987,0.00678857098286421,0.5565718078296837,0.34739776359271407,0.00398534674726875,0.00788029080739299,0.9984,18,5,45.0,
KMeans,"base_id=19,k=5,dimension=5,seed=46.0,covariance=None",5,2500,5,0.045481975428786695,2.7804812258334435,115.56850856332476,0.001276959675235231,0.00788029080739299,0.006788570982864211,0.5565718078296837,0.34739776359271407,0.00398534674726875,0.00788029080739299,0.9984,19,5,46.0,
KMeans,"base_id=20,k=6,dimension=5,seed=42.0,covariance=None",6,2500,6,0.04424107977138195,3.07166824403669,99.83413769060873,0.00132077676025098,0.007419711899546802,0.00619046508201914,0.5117236071272262,0.37877769250394455,0.0037465507282287143,0.0074197118995468015,0.9984,20,5,42.0,
KMeans,"base_id=21,k=6,dimension=5,seed=43.0,covariance=None",6,2500,6,0.04421463742521513,3.066114790221294,99.83885928631635,0.0013273516620636802,0.007427430664697438,0.006197876019359295,0.5123673146261459,0.37879053744313573,0.0037504856171455977,0.007427430664697438,0.9984,21,5,43.0,
KMeans,"base_id=22,k=6,dimension=5,seed=44.0,covariance=None",6,2500,6,0.044258003755519595,3.0670243727797484,99.83992887064969,0.0013302155306544323,0.0074309792730263904,0.006201220828266384,0.5125890187002179,0.37886420597738835,0.0037522880117647132,0.00743097927302639,0.9984,22,5,44.0,
KMeans,"base_id=23,k=6,dimension=5,seed=45.0,covariance=None",6,2500,6,0.04432143735613627,3.071780629562303,99.83946241625364,0.0012828344662698002,0.007372246178071529,0.006144152630669197,0.5105776606083029,0.37690426981916964,0.003722529420149528,0.007372246178071529,0.9984,23,5,45.0,
KMeans,"base_id=24,k=6,dimension=5,seed=46.0,covariance=None",6,2500,6,0.044007168764966666,3.0947698428157255,99.77700700724405,0.0012733141491001383,0.007365681008374793,0.006136856842572458,0.5080046571966337,0.37856114730332385,0.0037190210831467185,0.007365681008374792,0.9984,24,5,46.0,
KMeans,"base_id=25,k=7,dimension=5,seed=42.0,covariance=None",7,2500,7,0.03811152329034411,3.224139342033692,90.99970698593559,0.0009380116631352688,0.00674908835727462,0.0054350576775044415,0.44895444821850944,0.39590945619831663,0.003403554460436153,0.006749088357274619,0.9984,25,5,42.0,
KMeans,"base_id=26,k=7,dimension=5,seed=43.0,covariance=None",7,2500,7,0.036954520640025836,3.253665459185472,90.67351272889974,0.0009259519458048607,0.0067288751700980386,0.005411515182622554,0.44622711578099244,0.3970192847507207,0.0033931923186568762,0.006728875170098039,0.9984,26,5,43.0,
