base_id,algorithm,dimension,k,seed,covariance,runtime_seconds,inertia,bic,converged
60,KMeans,10,7,42.0,,0.07523124999999986,16496.924856665348,,True
61,KMeans,10,7,43.0,,0.08995762500000026,16502.011670454325,,True
62,KMeans,10,7,44.0,,0.08346045900000032,16492.533224956067,,True
63,KMeans,10,7,45.0,,0.07547987500000009,16493.27631762028,,True
64,KMeans,10,7,46.0,,0.07542850000000012,16496.313824543267,,True
65,KMeans,10,8,42.0,,0.1022641249999996,15556.092804554442,,True
66,KMeans,10,8,43.0,,0.08191249999999961,15742.521926061501,,True
67,KMeans,10,8,44.0,,0.082029833,15749.496556856204,,True
68,KMeans,10,8,45.0,,0.08428120900000025,15678.45484533074,,True
69,KMeans,10,8,46.0,,0.08642079100000011,15561.339314957171,,True
70,KMeans,15,2,42.0,,0.03871595800000005,39628.478514187234,,True
71,KMeans,15,2,43.0,,0.04006745800000022,38732.53552591201,,True
72,KMeans,15,2,44.0,,0.029622707999999776,38732.53552591201,,True
73,KMeans,15,2,45.0,,0.047214124999999996,39844.10695689883,,True
74,KMeans,15,2,46.0,,0.03395320799999979,38732.53552591201,,True
75,KMeans,15,3,42.0,,0.047698999999999714,36112.75760663244,,True
76,KMeans,15,3,43.0,,0.05357125000000007,37312.67321788154,,True
77,KMeans,15,3,44.0,,0.046376208999999946,36041.195601178915,,True
78,KMeans,15,3,45.0,,0.060800459000000195,35597.20632033474,,True
79,KMeans,15,3,46.0,,0.05464241699999928,36040.55279459147,,True
80,KMeans,15,4,42.0,,0.07216120799999981,34040.22241590634,,True
81,KMeans,15,4,43.0,,0.04803550000000012,34004.06578771233,,True
82,KMeans,15,4,44.0,,0.05800395799999958,33112.138889621274,,True
83,KMeans,15,4,45.0,,0.056492749999999425,33093.73979616363,,True
84,KMeans,15,4,46.0,,0.062526042,33112.54753296164,,True
85,KMeans,15,5,42.0,,0.0683587499999998,31241.594927594997,,True
86,KMeans,15,5,43.0,,0.06561183300000017,31225.89715648158,,True
87,KMeans,15,5,44.0,,0.06933275000000005,31050.084487524044,,True
88,KMeans,15,5,45.0,,0.06221637500000021,31225.905100914453,,True
89,KMeans,15,5,46.0,,0.06786104200000054,31225.850619315734,,True
90,KMeans,15,6,42.0,,0.06541479200000033,29634.479479441245,,True
91,KMeans,15,6,43.0,,0.06341566699999923,29535.86130669573,,True
92,KMeans,15,6,44.0,,0.06821362500000028,29385.325233020103,,True
93,KMeans,15,6,45.0,,0.10527641700000068,29266.82981310685,,True
94,KMeans,15,6,46.0,,0.08240554200000005,29267.918195994855,,True
95,KMeans,15,7,42.0,,0.09417687499999872,27625.82997461727,,True
96,KMeans,15,7,43.0,,0.08232124999999968,27841.137313011786,,True
97,KMeans,15,7,44.0,,0.08537708300000091,28298.045669391795,,True
98,KMeans,15,7,45.0,,0.07883483400000024,27626.060214421806,,True
99,KMeans,15,7,46.0,,0.09746200000000016,27877.575417357744,,True
100,KMeans,15,8,42.0,,0.08396399999999993,26344.582005233573,,True
101,KMeans,15,8,43.0,,0.07737904200000045,26686.965357829962,,True
102,KMeans,15,8,44.0,,0.08110074999999917,26344.809658408492,,True
103,KMeans,15,8,45.0,,0.10506504199999966,26660.152451222915,,True
104,KMeans,15,8,46.0,,0.07172133399999936,26344.57029654114,,True
105,KMeans,20,2,42.0,,0.05266895799999993,52742.11519458279,,True
106,KMeans,20,2,43.0,,0.04444108399999891,51140.871706148726,,True
107,KMeans,20,2,44.0,,0.04523129100000034,51140.871706148726,,True
108,KMeans,20,2,45.0,,0.03872483299999985,51140.871706148726,,True
109,KMeans,20,2,46.0,,0.05292416600000038,52256.1181077813,,True
110,KMeans,20,3,42.0,,0.0576731670000008,48448.18196339822,,True
111,KMeans,20,3,43.0,,0.051160541999999865,48450.27200573773,,True
112,KMeans,20,3,44.0,,0.061346041000000184,48448.23963996759,,True
113,KMeans,20,3,45.0,,0.03641966699999877,48448.365313192146,,True
114,KMeans,20,3,46.0,,0.05800129199999837,48448.51980061631,,True
115,KMeans,20,4,42.0,,0.06336699999999951,46437.34325818013,,True
116,KMeans,20,4,43.0,,0.053317499999998574,45472.340437866995,,True
117,KMeans,20,4,44.0,,0.06492291700000052,45472.3556268394,,True
118,KMeans,20,4,45.0,,0.06042504200000032,45497.32397940935,,True
119,KMeans,20,4,46.0,,0.06755316599999972,45497.26823526476,,True
120,KMeans,20,5,42.0,,0.08431079100000005,43600.631684066844,,True
121,KMeans,20,5,43.0,,0.06688366700000081,43218.96005179514,,True
122,KMeans,20,5,44.0,,0.0981810000000003,43610.39695799025,,True
123,KMeans,20,5,45.0,,0.0671890839999989,43760.9691501762,,True
124,KMeans,20,5,46.0,,0.07007429199999926,43564.27187278671,,True
125,KMeans,20,6,42.0,,0.054951084000000705,41933.4903462526,,True
126,KMeans,20,6,43.0,,0.06959466599999864,41358.88121914458,,True
127,KMeans,20,6,44.0,,0.08092687500000117,41569.59348780013,,True
128,KMeans,20,6,45.0,,0.06508187500000062,41631.518086636395,,True
129,KMeans,20,6,46.0,,0.07295379199999985,41425.59946029039,,True
130,KMeans,20,7,42.0,,0.07147554099999986,39809.35986712645,,True
131,KMeans,20,7,43.0,,0.08448162499999867,39563.29909553398,,True
132,KMeans,20,7,44.0,,0.0665637910000001,39742.92282231465,,True
133,KMeans,20,7,45.0,,0.06727608299999943,39521.26775269891,,True
134,KMeans,20,7,46.0,,0.07198145899999986,39483.175797163785,,True
135,KMeans,20,8,42.0,,0.08405387500000039,38381.26643221189,,True
136,KMeans,20,8,43.0,,0.06521116699999929,38407.65985018837,,True
137,KMeans,20,8,44.0,,0.07271104200000167,38024.2547736362,,True
138,KMeans,20,8,45.0,,0.08727608300000078,38382.32072693482,,True
139,KMeans,20,8,46.0,,0.07232941700000062,38379.91369062016,,True
140,GMM,5,2,42.0,diag,0.009950667000000024,,33215.05139627347,True
141,GMM,5,2,43.0,diag,0.007773332999999383,,33518.51437020164,True
142,GMM,5,2,44.0,diag,0.009629291999999623,,33532.23747960961,True
143,GMM,5,3,42.0,diag,0.008754166999999313,,31918.332797656538,True
144,GMM,5,3,43.0,diag,0.009443375000000032,,32517.890385146402,True
145,GMM,5,3,44.0,diag,0.00850200000000001,,31918.328386211626,True
146,GMM,5,4,42.0,diag,0.010716708000000352,,31328.039921189695,True
147,GMM,5,4,43.0,diag,0.009824374999999108,,32031.39947651987,True
148,GMM,5,4,44.0,diag,0.009586792000000344,,31322.46681464022,True
149,GMM,5,5,42.0,diag,0.012536541999999429,,30292.602502958074,True
150,GMM,5,5,43.0,diag,0.007748250000000567,,30898.82972200547,True
151,GMM,5,5,44.0,diag,0.008160791999999972,,30898.920317176326,True
152,GMM,5,6,42.0,diag,0.013820416999999807,,30083.045681723772,True
153,GMM,5,6,43.0,diag,0.020255208000000025,,30094.864072108932,True
154,GMM,5,6,44.0,diag,0.025643708000000487,,30095.33604809088,True
155,GMM,5,7,42.0,diag,0.015447165999999513,,30084.156880147922,True
156,GMM,5,7,43.0,diag,0.013349333999999047,,29927.73605257849,True
157,GMM,5,7,44.0,diag,0.022621125000000575,,30083.597358434738,True
158,GMM,5,8,42.0,diag,0.012694790999999483,,29933.596422370185,True
159,GMM,5,8,43.0,diag,0.012672542000000675,,29914.80952066145,True
160,GMM,5,8,44.0,diag,0.013110541999999725,,29929.276080879783,True
161,GMM,5,2,42.0,full,0.023934499999999304,,31313.269423258265,True
162,GMM,5,2,43.0,full,0.018075250000000764,,33198.228492735856,True
163,GMM,5,2,44.0,full,0.01520787499999976,,33198.28172673575,True
164,GMM,5,3,42.0,full,0.013935458000000622,,29553.976020512404,True
165,GMM,5,3,43.0,full,0.02747495899999919,,29553.148458774387,True
166,GMM,5,3,44.0,full,0.02079604199999885,,29553.964460165826,True
167,GMM,5,4,42.0,full,0.016438416999999816,,28938.177497975965,True
168,GMM,5,4,43.0,full,0.04543775000000139,,29335.50749182097,True
169,GMM,5,4,44.0,full,0.04112950000000026,,29339.556624687102,True
170,GMM,5,5,42.0,full,0.0528236660000001,,28101.310074388246,True
171,GMM,5,5,43.0,full,0.02087145800000023,,28715.857461054497,True
172,GMM,5,5,44.0,full,0.022468125000001393,,28717.008497977396,True
173,GMM,5,6,42.0,full,0.05486291700000123,,28590.455760292392,True
174,GMM,5,6,43.0,full,0.04746620800000123,,28808.178825123534,True
175,GMM,5,6,44.0,full,0.05513595799999926,,28808.325185203586,True
