sorted_position,k_distance,min_samples
215,2.0506335616661784,20
216,2.050885714403291,20
217,2.0511562663946505,20
218,2.0514651048914034,20
219,2.051948631540345,20
220,2.053505113752417,20
221,2.053933177861809,20
222,2.055593016454878,20
223,2.0569097364643345,20
224,2.057203384113124,20
225,2.059289994951828,20
226,2.060138262391265,20
227,2.0608635202484185,20
228,2.0610815967852942,20
229,2.0611542916510937,20
230,2.0627897990660986,20
231,2.0640396072535583,20
232,2.0647626760408007,20
233,2.0651684766157015,20
234,2.0653530704014047,20
235,2.0661800583389387,20
236,2.0665171930696986,20
237,2.06875013325844,20
238,2.06875013325844,20
239,2.0707514758670844,20
240,2.0713370054409426,20
241,2.073877858283398,20
242,2.0746622938231996,20
243,2.0747777471400806,20
244,2.079965424765608,20
245,2.081330775752913,20
246,2.0824507213180867,20
247,2.0842256121882676,20
248,2.0854027889413764,20
249,2.0862654539230454,20
250,2.087310206188462,20
251,2.0882810166984607,20
252,2.0887974960929343,20
253,2.08914335908459,20
254,2.089747304212025,20
255,2.089810468883464,20
256,2.0903964331375473,20
257,2.090872916767356,20
258,2.0917209482611283,20
259,2.0953465658994452,20
260,2.099583153261341,20
261,2.099583660256935,20
262,2.101523220656348,20
263,2.1028363401055934,20
264,2.1028363401055934,20
265,2.103298152755627,20
266,2.103638497288769,20
267,2.1041425296528304,20
268,2.1041992096343765,20
269,2.104506488109434,20
270,2.104733053421648,20
271,2.1055056868910516,20
272,2.1057368538097982,20
273,2.1067209576416976,20
274,2.107133780296955,20
275,2.1073367016117404,20
276,2.1075673474141183,20
277,2.107864360653273,20
278,2.1078949010697734,20
279,2.108003193744312,20
280,2.1107232170747405,20
281,2.1140677650394477,20
282,2.116626438135777,20
283,2.116675893640223,20
284,2.1170918417179996,20
285,2.1192755079892214,20
286,2.120290569453598,20
287,2.1216947035519946,20
288,2.122137557294322,20
289,2.1229554388685976,20
290,2.1241909756206074,20
291,2.124807670035884,20
292,2.1259918096072274,20
293,2.1261424990449758,20
294,2.1268042938787297,20
295,2.127572486359586,20
296,2.1289333290881975,20
297,2.130903097802866,20
298,2.1311286825702003,20
299,2.1329764105577635,20
300,2.1332794342846353,20
301,2.133563865159713,20
302,2.1353436766347342,20
303,2.1357832211067875,20
304,2.1359453407141102,20
305,2.136108843216131,20
306,2.1373827636703324,20
307,2.13754308515582,20
308,2.137605031189617,20
309,2.1377578071889327,20
310,2.13794719710863,20
311,2.1380517897894906,20
312,2.1398425969039194,20
313,2.1419243515519546,20
314,2.141999294807488,20
315,2.142842837813165,20
316,2.1454300051875603,20
317,2.1464798232061115,20
318,2.1474740664367222,20
319,2.14843806649529,20
320,2.148536484134173,20
321,2.149169738243568,20
322,2.149855868402653,20
323,2.149984990760023,20
324,2.1504598350624544,20
325,2.151122499923834,20
326,2.151204717554018,20
327,2.152842353651646,20
328,2.153729270511791,20
329,2.1544089955341184,20
330,2.154480417041949,20
331,2.1548478467088352,20
332,2.154996681095935,20
333,2.1559188734197807,20
334,2.1562631353443034,20
335,2.157246508341444,20
336,2.157614561832446,20
337,2.159318031943108,20
338,2.160449180221786,20
339,2.160708318823099,20
340,2.1629501261767357,20
341,2.1629501261767357,20
342,2.1645057794089086,20
343,2.1648114632971245,20
344,2.165814155055475,20
345,2.1662090954911566,20
346,2.1671965951343997,20
347,2.168261651724056,20
348,2.1683046454907413,20
349,2.1691779869781347,20
350,2.1693568615468974,20
351,2.170078829422836,20
352,2.1703742088029045,20
353,2.170478971415008,20
354,2.1723701570866987,20
355,2.174056799174728,20
356,2.1754886882187776,20
357,2.1755418254659475,20
358,2.176335646328814,20
359,2.1780451851498963,20
360,2.1784138556323493,20
361,2.1786782635657134,20
362,2.1794543377052396,20
363,2.1804805944395937,20
364,2.181750995176874,20
365,2.1827896562009257,20
366,2.183171986881757,20
367,2.183860160979503,20
