algorithm,pair_id,pairwise_ari
KMeans,186,0.9827385579398834
KMeans,187,0.019101747174525
KMeans,188,0.9960032560637436
KMeans,189,0.019288695377213158
GMM,0,0.7373008745272271
GMM,1,0.9117288753786028
GMM,2,0.6620841838899945
GMM,3,0.7008410545458321
GMM,4,0.5499175596258888
GMM,5,0.7334830531542453
GMM,6,0.7570280130831396
GMM,7,0.4764887578494006
GMM,8,0.9006342079647435
GMM,9,0.6510572780869547
GMM,10,0.5509670746389853
GMM,11,0.39091576080420426
GMM,12,0.6353392899240273
GMM,13,0.6668374360719231
GMM,14,0.9097391883856031
GMM,15,0.6616328879570621
GMM,16,0.6330919235765867
GMM,17,0.6467313724295196
GMM,18,0.35796200412191526
GMM,19,0.7951062992366961
GMM,20,0.6782663999553269
GMM,21,0.5999764536900684
GMM,22,0.43711528788181325
GMM,23,0.6555493838263541
GMM,24,0.6423236874414928
GMM,25,0.44974543159187835
GMM,26,0.7612681531164684
GMM,27,0.6130511520382795
GMM,28,0.4222167444750809
GMM,29,0.45520642630878977
GMM,30,0.5995279213565177
GMM,31,0.5962492455265493
GMM,32,0.7452404219278735
GMM,33,0.6089901368315703
GMM,34,0.6765394987334676
GMM,35,0.6547486022905195
GMM,36,0.4815841479903553
GMM,37,0.6946817888129706
GMM,38,0.717703508448478
GMM,39,0.5483016445771903
GMM,40,0.7552161329234865
GMM,41,0.7303745534219477
GMM,42,0.44418732534648997
GMM,43,0.937616599717239
GMM,44,0.618273531133718
GMM,45,0.5109954040142178
GMM,46,0.43194136360742674
GMM,47,0.6845865552794174
GMM,48,0.6330227724459182
GMM,49,0.8957249916688004
GMM,50,0.6916356895060156
GMM,51,0.6631608098301759
GMM,52,0.6773301913409779
GMM,53,0.4047990068994883
GMM,54,0.5338221502057804
GMM,55,0.43161391297108875
GMM,56,0.5931281112947805
GMM,57,0.5325286039990274
GMM,58,0.3674916296356023
GMM,59,0.6922587233478877
GMM,60,0.5424291389027647
GMM,61,0.41428484527594206
GMM,62,0.3626014008286326
GMM,63,0.4991031547148757
GMM,64,0.5070205423238149
GMM,65,0.688223206728345
GMM,66,0.5284108285188
GMM,67,0.6296318664782197
GMM,68,0.595017466563132
GMM,69,0.35446505333387474
GMM,70,0.5971191320449958
GMM,71,0.6449442065030104
GMM,72,0.6173078255884054
GMM,73,0.3530787523526598
GMM,74,0.7373325021800671
GMM,75,0.6275108433094048
GMM,76,0.4726515636598862
GMM,77,0.3256207049821815
GMM,78,0.534002137159728
GMM,79,0.546094134679717
GMM,80,0.6753193813885952
GMM,81,0.7357766029768597
GMM,82,0.696292507049669
GMM,83,0.5766727765148936
GMM,84,0.34652463326517924
GMM,85,0.4386722127312627
GMM,86,0.4327225221266425
GMM,87,0.35649642055917347
GMM,88,0.5467288008821618
GMM,89,0.5660275468339335
GMM,90,0.6286417385080618
GMM,91,0.2985445362818629
GMM,92,0.49360537407476524
GMM,93,0.5640788142716685
GMM,94,0.5312274994261008
GMM,95,0.5079472791115391
GMM,96,0.4603844302718483
GMM,97,0.4095875662393246
GMM,98,0.2180653534567585
GMM,99,0.7671513656263262
GMM,100,0.5092701077899122
GMM,101,0.7761477344863612
GMM,102,0.5335198152936215
GMM,103,0.42370006514398056
GMM,104,0.46873187545628436
