reference_cluster,matched_bootstrap_cluster,jaccard,reference_cluster_size,k,bootstrap_run,seed
0,3,0.2335483870967742,299,5,8,1549
1,2,0.46588235294117647,384,5,8,1549
2,1,0.4612546125461255,700,5,8,1549
3,0,0.9913793103448276,116,5,8,1549
4,4,1.0,1,5,8,1549
0,2,0.569620253164557,299,5,9,1550
1,3,0.3248081841432225,384,5,9,1550
2,4,0.4574468085106383,700,5,9,1550
3,0,0.9914529914529915,116,5,9,1550
4,0,0.008547008547008548,1,5,9,1550
0,4,0.3183673469387755,299,5,10,1551
1,4,0.3512014787430684,384,5,10,1551
2,3,0.461441213653603,700,5,10,1551
3,1,1.0,116,5,10,1551
4,2,1.0,1,5,10,1551
0,0,0.5714285714285714,299,5,11,1552
1,2,0.2995008319467554,384,5,11,1552
2,2,0.5928753180661578,700,5,11,1552
3,1,1.0,116,5,11,1552
4,4,1.0,1,5,11,1552
0,0,0.569620253164557,299,5,12,1553
1,3,0.3341902313624679,384,5,12,1553
2,1,0.4713603818615752,700,5,12,1553
3,4,1.0,116,5,12,1553
4,3,0.0015290519877675841,1,5,12,1553
0,3,0.22380952380952382,299,5,13,1554
1,3,0.2807825086306099,384,5,13,1554
2,4,0.4053156146179402,700,5,13,1554
3,0,0.9741379310344828,116,5,13,1554
4,2,1.0,1,5,13,1554
0,1,0.2213302752293578,299,5,14,1555
1,1,0.2877939529675252,384,5,14,1555
2,2,0.4129032258064516,700,5,14,1555
3,3,1.0,116,5,14,1555
4,4,1.0,1,5,14,1555
0,4,0.40131578947368424,299,5,15,1556
1,4,0.4504643962848297,384,5,15,1556
2,1,0.80625,700,5,15,1556
3,0,1.0,116,5,15,1556
4,2,1.0,1,5,15,1556
0,0,0.569620253164557,299,5,16,1557
1,2,0.3201530612244898,384,5,16,1557
2,4,0.45294117647058824,700,5,16,1557
3,3,1.0,116,5,16,1557
4,1,1.0,1,5,16,1557
0,2,0.223121387283237,299,5,17,1558
1,2,0.28716216216216217,384,5,17,1558
2,1,0.41586280814576637,700,5,17,1558
3,4,1.0,116,5,17,1558
4,3,1.0,1,5,17,1558
0,0,0.5714285714285714,299,5,18,1559
1,4,0.632295719844358,384,5,18,1559
2,1,0.8743455497382199,700,5,18,1559
3,3,1.0,116,5,18,1559
4,2,1.0,1,5,18,1559
0,0,0.569620253164557,299,5,19,1560
1,3,0.3281853281853282,384,5,19,1560
2,1,0.4650887573964497,700,5,19,1560
3,2,1.0,116,5,19,1560
4,4,1.0,1,5,19,1560
0,1,0.569620253164557,299,5,20,1561
1,2,0.3147914032869785,384,5,20,1561
2,0,0.44366197183098594,700,5,20,1561
3,4,1.0,116,5,20,1561
4,3,1.0,1,5,20,1561
0,3,0.291005291005291,195,6,1,1642
1,3,0.016286644951140065,19,6,1,1642
2,5,0.6215429403202329,644,6,1,1642
3,1,0.9827586206896551,114,6,1,1642
4,2,0.7225325884543762,527,6,1,1642
5,4,1.0,1,6,1,1642
0,4,0.1297709923664122,195,6,2,1643
1,0,0.9473684210526315,19,6,2,1643
2,1,0.7079407806191117,644,6,2,1643
3,2,0.9912280701754386,114,6,2,1643
4,3,0.7512864493996569,527,6,2,1643
5,5,1.0,1,6,2,1643
0,1,0.9898477157360406,195,6,3,1644
1,4,0.15789473684210525,19,6,3,1644
2,0,0.9756838905775076,644,6,3,1644
3,3,0.9743589743589743,114,6,3,1644
4,2,0.9700374531835206,527,6,3,1644
5,3,0.008547008547008548,1,6,3,1644
0,0,0.30517241379310345,195,6,4,1645
1,5,0.0297029702970297,19,6,4,1645
2,0,0.3137254901960784,644,6,4,1645
3,2,0.9827586206896551,114,6,4,1645
4,3,0.47719298245614034,527,6,4,1645
5,1,1.0,1,6,4,1645
0,0,0.9898477157360406,195,6,5,1646
1,5,0.07142857142857142,19,6,5,1646
2,2,0.9631336405529954,644,6,5,1646
3,1,0.9827586206896551,114,6,5,1646
4,3,0.9632352941176471,527,6,5,1646
5,4,1.0,1,6,5,1646
0,1,0.22189349112426035,195,6,6,1647
1,0,0.031914893617021274,19,6,6,1647
2,2,0.27589967284623773,644,6,6,1647
3,4,0.9741379310344828,114,6,6,1647
4,3,0.29642857142857143,527,6,6,1647
5,5,1.0,1,6,6,1647
0,0,0.14049586776859505,195,6,7,1648
1,1,0.10526315789473684,19,6,7,1648
2,0,0.8187660668380463,644,6,7,1648
3,3,0.9827586206896551,114,6,7,1648
4,4,0.8441558441558441,527,6,7,1648
5,2,1.0,1,6,7,1648
0,3,0.9898477157360406,195,6,8,1649
1,2,0.05263157894736842,19,6,8,1649
2,4,0.972768532526475,644,6,8,1649
3,0,0.9827586206896551,114,6,8,1649
4,1,0.9700374531835206,527,6,8,1649
5,5,1.0,1,6,8,1649
0,0,0.9746192893401016,195,6,9,1650
1,5,0.05263157894736842,19,6,9,1650
2,2,0.9432835820895522,644,6,9,1650
3,4,0.9827586206896551,114,6,9,1650
4,1,0.9209558823529411,527,6,9,1650
5,3,0.07692307692307693,1,6,9,1650
0,5,0.22580645161290322,195,6,10,1651
1,3,0.15789473684210525,19,6,10,1651
2,1,0.31844106463878324,644,6,10,1651
3,2,0.9827586206896551,114,6,10,1651
4,1,0.4448236632536974,527,6,10,1651
5,4,1.0,1,6,10,1651
0,3,0.9086294416243654,195,6,11,1652
1,5,0.017543859649122806,19,6,11,1652
2,2,0.906060606060606,644,6,11,1652
3,1,0.9827586206896551,114,6,11,1652
4,5,0.9003690036900369,527,6,11,1652
5,4,1.0,1,6,11,1652
0,0,0.9898477157360406,195,6,12,1653
1,4,0.05263157894736842,19,6,12,1653
2,5,0.9607250755287009,644,6,12,1653
3,1,0.9827586206896551,114,6,12,1653
4,3,0.9377289377289377,527,6,12,1653
5,2,1.0,1,6,12,1653
0,0,0.29526462395543174,195,6,13,1654
1,1,0.0166270783847981,19,6,13,1654
2,2,0.6452554744525547,644,6,13,1654
3,4,0.9827586206896551,114,6,13,1654
4,1,0.7397769516728625,527,6,13,1654
5,5,1.0,1,6,13,1654
0,0,0.9086294416243654,195,6,14,1655
1,1,0.015384615384615385,19,6,14,1655
2,2,0.9075757575757576,644,6,14,1655
3,1,0.9568965517241379,114,6,14,1655
4,3,0.9090909090909091,527,6,14,1655
5,5,1.0,1,6,14,1655
0,0,0.9040404040404041,195,6,15,1656
1,0,0.015151515151515152,19,6,15,1656
2,1,0.9059180576631259,644,6,15,1656
3,2,0.9827586206896551,114,6,15,1656
4,4,0.9057301293900185,527,6,15,1656
5,3,1.0,1,6,15,1656
0,0,0.9847715736040609,195,6,16,1657
1,5,0.015151515151515152,19,6,16,1657
2,1,0.7766116941529235,644,6,16,1657
3,5,0.9741379310344828,114,6,16,1657
4,3,0.7867647058823529,527,6,16,1657
5,4,1.0,1,6,16,1657
0,0,0.9847715736040609,195,6,17,1658
1,4,0.015037593984962405,19,6,17,1658
2,1,0.6424418604651163,644,6,17,1658
3,4,0.9827586206896551,114,6,17,1658
4,2,0.7444029850746269,527,6,17,1658
5,5,1.0,1,6,17,1658
0,0,0.22647058823529412,195,6,18,1659
1,3,0.017817371937639197,19,6,18,1659
2,5,0.6421499292786421,644,6,18,1659
3,4,0.9741379310344828,114,6,18,1659
4,3,0.7201426024955436,527,6,18,1659
5,2,1.0,1,6,18,1659
0,1,0.9086294416243654,195,6,19,1660
1,4,0.015037593984962405,19,6,19,1660
2,3,0.9063444108761329,644,6,19,1660
3,4,0.9827586206896551,114,6,19,1660
4,5,0.9070631970260223,527,6,19,1660
5,2,1.0,1,6,19,1660
0,4,0.2215568862275449,195,6,20,1661
1,2,0.015267175572519083,19,6,20,1661
2,3,0.32741617357001973,644,6,20,1661
3,2,0.9655172413793104,114,6,20,1661
4,3,0.4045714285714286,527,6,20,1661
5,5,1.0,1,6,20,1661
0,1,0.9086294416243654,179,7,1,1742
1,0,0.08333333333333333,19,7,1,1742
2,5,0.9049773755656109,609,7,1,1742
3,3,0.9827586206896551,114,7,1,1742
4,4,0.9135338345864662,493,7,1,1742
5,6,1.0,1,7,1,1742
6,1,0.06015037593984962,85,7,1,1742
0,5,0.9834254143646409,179,7,2,1743
1,6,0.08333333333333333,19,7,2,1743
2,1,0.9661290322580646,609,7,2,1743
3,4,0.9827586206896551,114,7,2,1743
4,2,0.960552268244576,493,7,2,1743
5,3,1.0,1,7,2,1743
6,0,1.0,85,7,2,1743
0,1,0.8781725888324873,179,7,3,1744
1,2,0.02857142857142857,19,7,3,1744
2,3,0.8236173393124065,609,7,3,1744
3,0,0.9741379310344828,114,7,3,1744
4,4,0.846441947565543,493,7,3,1744
5,6,1.0,1,7,3,1744
6,1,0.06153846153846154,85,7,3,1744
0,2,0.988950276243094,179,7,4,1745
1,4,0.15789473684210525,19,7,4,1745
2,0,0.971107544141252,609,7,4,1745
3,1,0.9743589743589743,114,7,4,1745
4,3,0.9661354581673307,493,7,4,1745
5,1,0.008547008547008548,1,7,4,1745
6,5,1.0,85,7,4,1745
0,0,0.9834254143646409,179,7,5,1746
1,5,0.05263157894736842,19,7,5,1746
2,1,0.496513249651325,609,7,5,1746
3,3,0.9741379310344828,114,7,5,1746
4,4,0.5178807947019868,493,7,5,1746
5,6,1.0,1,7,5,1746
6,2,0.9883720930232558,85,7,5,1746
0,1,0.9779005524861878,179,7,6,1747
1,0,0.047619047619047616,19,7,6,1747
2,5,0.7342767295597484,609,7,6,1747
3,6,0.9741379310344828,114,7,6,1747
4,2,0.7855711422845691,493,7,6,1747
