reference_cluster,matched_bootstrap_cluster,jaccard,reference_cluster_size,k,bootstrap_run,seed
5,7,0.9827586206896551,114,8,15,1856
6,4,0.9882352941176471,85,8,15,1856
7,5,0.6509433962264151,603,8,15,1856
0,0,0.04739336492890995,12,8,16,1857
1,4,0.7831325301204819,490,8,16,1857
2,2,0.13333333333333333,15,8,16,1857
3,7,0.9834254143646409,180,8,16,1857
4,1,1.0,1,8,16,1857
5,3,0.9741379310344828,114,8,16,1857
6,6,1.0,85,8,16,1857
7,5,0.7738853503184714,603,8,16,1857
0,6,0.08333333333333333,12,8,17,1858
1,7,0.7566539923954373,490,8,17,1858
2,3,1.0,15,8,17,1858
3,2,0.9132653061224489,180,8,17,1858
4,4,1.0,1,8,17,1858
5,1,0.9912280701754386,114,8,17,1858
6,7,0.06134969325153374,85,8,17,1858
7,5,0.7748447204968945,603,8,17,1858
0,6,0.08333333333333333,12,8,18,1859
1,0,0.7559523809523809,490,8,18,1859
2,7,0.015503875968992248,15,8,18,1859
3,1,0.9834254143646409,180,8,18,1859
4,4,1.0,1,8,18,1859
5,7,0.9827586206896551,114,8,18,1859
6,2,1.0,85,8,18,1859
7,5,0.7929373996789727,603,8,18,1859
0,4,0.08333333333333333,12,8,19,1860
1,0,0.7173489278752436,490,8,19,1860
2,0,0.020100502512562814,15,8,19,1860
3,2,0.23738872403560832,180,8,19,1860
4,3,1.0,1,8,19,1860
5,1,0.9568965517241379,114,8,19,1860
6,6,0.9770114942528736,85,8,19,1860
7,5,0.6516329704510109,603,8,19,1860
0,0,0.04433497536945813,12,8,20,1861
1,4,0.6737451737451737,490,8,20,1861
2,1,0.9375,15,8,20,1861
3,5,0.9081632653061225,180,8,20,1861
4,3,1.0,1,8,20,1861
5,6,0.9912280701754386,114,8,20,1861
6,5,0.060836501901140684,85,8,20,1861
7,2,0.616793893129771,603,8,20,1861
