algorithm,source_experiment,parameters,selected_k,n_clusters,noise_fraction,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,ami,fowlkes_mallows,homogeneity,completeness,v_measure,purity,runtime_seconds
DBSCAN,DBSCAN grid search,"eps=6.100841,min_samples=20",1,1.0,0.0246666666666666,,,,0.1065479139220952,0.0689561106519682,0.0679373291360324,0.976521915853311,0.3109373556987341,0.0387779153685251,0.0689561106519682,0.998,0.3150440840000001
DBSCAN,DBSCAN grid search,"eps=7.294060,min_samples=20",1,1.0,0.0158333333333333,,,,0.1627631040273282,0.108031660562795,0.1069541682561122,0.9852169457874814,0.3585793506299812,0.0635958020312949,0.1080316605627949,0.998,0.8290000000000006
DBSCAN,DBSCAN grid search,"eps=10.949539,min_samples=20",1,1.0,0.0045,,,,0.2531073187099184,0.1494689959990611,0.1484006874636397,0.9951609750695608,0.2239547480360844,0.1121640371530546,0.1494689959990611,0.998,1.0854649999999992
DBSCAN,DBSCAN grid search,"eps=4.771827,min_samples=30",1,1.0,0.063,,,,0.0444505255720697,0.0300401365036582,0.0293079187833231,0.9401009103224144,0.2598263105005602,0.0159416233895464,0.0300401365036582,0.998,0.1642583749999993
DBSCAN,DBSCAN grid search,"eps=5.245489,min_samples=30",1,1.0,0.0435,,,,0.05957150658271,0.0374921401046685,0.0366270366723115,0.958266093335808,0.2512163603711976,0.0202577261952547,0.0374921401046685,0.998,0.2178868340000015
DBSCAN,DBSCAN grid search,"eps=6.343075,min_samples=30",1,1.0,0.0236666666666666,,,,0.1109699216249813,0.0719793846294355,0.0709524800583068,0.9775020940496708,0.3153440343966619,0.0406263052388444,0.0719793846294355,0.998,0.3596871250000006
DBSCAN,DBSCAN grid search,"eps=7.563001,min_samples=30",1,1.0,0.0158333333333333,,,,0.1627631040273282,0.108031660562795,0.1069541682561122,0.9852169457874814,0.3585793506299812,0.0635958020312949,0.1080316605627949,0.998,0.6595999589999977
DBSCAN,DBSCAN grid search,"eps=11.405267,min_samples=30",1,1.0,0.0041666666666666,,,,0.2670772327223387,0.1594299011906836,0.1583838164908061,0.995494131663156,0.2288652175797255,0.1223194559502206,0.1594299011906836,0.998,0.591787416999999
GMM,GMM grid search,"k=2,covariance=spherical",2,2.0,0.0,0.4413714494033429,5.105948267535597,107.52365106122204,0.041487467999063,0.0257948321512298,0.0250438779296629,0.9421329692574932,0.2170262059141843,0.0137123101508655,0.0257948321512298,0.998,0.0427938749999974
GMM,GMM grid search,"k=3,covariance=spherical",3,3.0,0.0,0.031611826792033,5.403127127125835,115.28527944231432,0.0048653432490414,0.0096196911723861,0.0092171655471109,0.6870996434958154,0.2764908993446829,0.0048949991669929,0.0096196911723861,0.998,0.0821699579999979
GMM,GMM grid search,"k=4,covariance=spherical",4,4.0,0.0,0.02663219171236,4.942723586372482,128.99807835559207,0.0035694055481588,0.0081315426309952,0.0076398492268177,0.6305497174993203,0.2984936681868485,0.0041219157792715,0.0081315426309952,0.998,0.1204632920000001
GMM,GMM grid search,"k=5,covariance=spherical",5,5.0,0.0,0.0474965335127995,4.647531417778475,159.6205384685541,0.0028947765054088,0.0070233818331879,0.006450123940317,0.5927525752093474,0.3030027697007737,0.0035528673454337,0.0070233818331879,0.998,0.2216552920000012
GMM,GMM grid search,"k=6,covariance=spherical",6,6.0,0.0,0.0106511830159638,5.2647955807094835,140.0334939463446,0.0025489918335274,0.0077370224983457,0.0071394091748186,0.5310510194466024,0.3942076134303383,0.0039068506807116,0.0077370224983457,0.998,0.2753313750000004
GMM,GMM grid search,"k=7,covariance=spherical",7,7.0,0.0,-0.0147383558598625,4.866534542671341,135.34231407636815,0.0015206463257288,0.0051865546701265,0.0045566485491608,0.4746483561080317,0.3013864995403384,0.0026157848313408,0.0051865546701265,0.998,0.1629617080000009
GMM,GMM grid search,"k=8,covariance=spherical",8,8.0,0.0,-0.0029566726505154,4.6607598635845395,144.60306217527167,0.0012989453213889,0.0050891891413054,0.0044075592990843,0.4395475613993889,0.3232096034400141,0.0025647868627641,0.0050891891413054,0.998,0.2580762080000021
GMM,GMM grid search,"k=2,covariance=diag",2,2.0,0.0,0.3262059104962964,5.982775580590359,100.244207788919,0.0235845881327096,0.0181711025164788,0.0176580398407671,0.8921089670386795,0.2357284781140108,0.0094497684116766,0.0181711025164788,0.998,0.0522620830000022
GMM,GMM grid search,"k=3,covariance=diag",3,3.0,0.0,0.0489219148233444,6.044471419675058,104.03606712566844,0.0045270450211302,0.0076622548755532,0.0072531748786868,0.6779988750132661,0.2315058139937855,0.0038955945845925,0.0076622548755532,0.998,0.2021562090000017
GMM,GMM grid search,"k=4,covariance=diag",4,4.0,0.0,0.0281335128046477,5.307150231815655,119.49869749067317,0.003536082331877,0.0066620303444069,0.0061547732459155,0.633119145893162,0.2494372858904771,0.0033761000131751,0.0066620303444069,0.998,0.097634499999998
GMM,GMM grid search,"k=5,covariance=diag",5,5.0,0.0,0.0200714040124435,4.658773925213092,145.42329713907387,0.0022998537051708,0.0053626255151666,0.0047948618448127,0.5725795991263802,0.2416126944995008,0.0027114027275636,0.0053626255151666,0.998,0.29505275
GMM,GMM grid search,"k=6,covariance=diag",6,6.0,0.0,0.0208465013601528,5.053041432862622,133.21566518143896,0.0022440683143106,0.0070351725525755,0.0064387938174264,0.5223709827810263,0.363097979217928,0.0035519969767987,0.0070351725525755,0.998,0.2055552919999996
GMM,GMM grid search,"k=7,covariance=diag",7,7.0,0.0,-0.0154347714176991,4.889128371272534,123.66259388371915,0.0012975973196785,0.0046264299615064,0.0039982582281652,0.463805272377732,0.2728920928286856,0.0023329909647093,0.0046264299615064,0.998,0.2795278749999994
GMM,GMM grid search,"k=8,covariance=diag",8,8.0,0.0,-0.0066582745035279,4.658803723254545,134.5559201381892,0.0012773777018346,0.0057431014876809,0.0050649096413027,0.4271183282355989,0.3716646585482375,0.0028939096315201,0.0057431014876809,0.998,0.292229583000001
